python llava/eval/model_sqa3d.py --num-chunks 1 --question-file /data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d.json --video-folder /data/SceneUnderstanding/ScanNet/scans/ --answers-file /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json --chunk-idx 0 --model-path /data/SceneUnderstanding/checkpoints/LLaVA-3D-7B/
python llava/eval/sqa3d_evaluator.py --pred-json /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json --gt-json /data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d_answers.json --num-chunks 1 --chunk-idx 0 >> /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_output-rerun.txt
Namespace(pred_json=['/data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json'], gt_json='/data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d_answers.json', num_chunks=1, chunk_idx=[0], use_enhanced_normalization=False, use_openai_evaluation=False)
Total samples: 424
pred_answer: washyourhandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshandshands gt_answers: sink
pred_answer: black gt_answers: black
pred_answer: stairs gt_answers: steps
pred_answer: yes gt_answers: no
pred_answer: youmustwalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthewalkthroughthe gt_answers: backward
pred_answer: brown gt_answers: one
pred_answer: rectangular gt_answers: round
pred_answer: yes gt_answers: yes
pred_answer: black gt_answers: blackandbrown
pred_answer: reachouttograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbtograbto gt_answers: right
pred_answer: 4 gt_answers: three
pred_answer: rectangular gt_answers: square
pred_answer: 3 gt_answers: three
pred_answer: washingmachine gt_answers: right
pred_answer: chair gt_answers: chair
pred_answer: 1 gt_answers: two
pred_answer: washingmachine gt_answers: unknown
pred_answer: even gt_answers: odd
pred_answer: 22 gt_answers: one
pred_answer: washingmachine gt_answers: washingmachine
pred_answer: 4 gt_answers: three
pred_answer: chair gt_answers: stairs
pred_answer: washingmachine gt_answers: washingmachine
pred_answer: washingmachine gt_answers: washingmachines
pred_answer: blackboard gt_answers: blackboard
pred_answer: inrows gt_answers: inrows
pred_answer: green gt_answers: unknown
pred_answer: 2 gt_answers: one
pred_answer: 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 gt_answers: two
pred_answer: right gt_answers: left
pred_answer: fireextinguuisher gt_answers: unknown
pred_answer: yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes, gt_answers: yes
pred_answer: yes gt_answers: yes
pred_answer: 222 gt_answers: one
pred_answer: youcanwalkfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfromthewalkwayfrom gt_answers: turnright
pred_answer: youcangetitfromthelaundrydetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdetergentdeter gt_answers: unknown
pred_answer: 3 gt_answers: eight
pred_answer: purple gt_answers: purple
pred_answer: washingmachine gt_answers: box
pred_answer: left gt_answers: backward
pred_answer: theredchairisinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfrontinfront gt_answers: left
pred_answer: yes gt_answers: no
pred_answer: yes gt_answers: yes
pred_answer: onthefloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloor gt_answers: right
pred_answer: table gt_answers: table
pred_answer: inthesink gt_answers: sink
pred_answer: small gt_answers: small
pred_answer: 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 gt_answers: two
pred_answer: left gt_answers: left
pred_answer: thereare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairsare111chairs gt_answers: one
pred_answer: sink gt_answers: sink
pred_answer: forward gt_answers: right
pred_answer: black gt_answers: black
pred_answer: yes gt_answers: yes
pred_answer: facingawayfromme gt_answers: unknown
pred_answer: rectangular gt_answers: round
pred_answer: yes gt_answers: yes
pred_answer: 11 gt_answers: one
pred_answer: washingmachine gt_answers: box
pred_answer: left gt_answers: right
pred_answer: stackedvertically gt_answers: stack
pred_answer: tothesecondfloor gt_answers: outside
pred_answer: 1 gt_answers: one
pred_answer: youcanmoveforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforwardforward gt_answers: right
pred_answer: table gt_answers: table
pred_answer: youcangotothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetothetotheto gt_answers: left
pred_answer: left gt_answers: right
pred_answer: detergent gt_answers: unknown
pred_answer: rail gt_answers: handrails
pred_answer: attachedtothetable gt_answers: unknown
pred_answer: right gt_answers: left
pred_answer: chair gt_answers: table
pred_answer: stack gt_answers: stack
pred_answer: left gt_answers: right
pred_answer: white gt_answers: black
pred_answer: forward gt_answers: right
pred_answer: rectangular gt_answers: rectangular
pred_answer: itisashelf gt_answers: shelf
pred_answer: left gt_answers: backward
pred_answer: door gt_answers: chair
pred_answer: 111 gt_answers: two
pred_answer: detergent gt_answers: unknown
pred_answer: left gt_answers: left
pred_answer: itisatabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletabletable gt_answers: cabinet
pred_answer: yes gt_answers: yes
pred_answer: door gt_answers: left
pred_answer: no gt_answers: yes
pred_answer: left gt_answers: right
